sinta_id,title,topics
5995101,development computer teaching materials education management applications elearning module. hard skills versus soft skills affect different job types japanese language graduates. development automatic system icmls 20 improving educational technology competences industrial revolution 40. developing integrated management information system research study institute research community services universitas pendidikan indonesia,"educational technology competences, management applications elearning, types japanese language"
5994552,knowledge management process knowledge sharing teacher literacy skills vocational high schools. determinants teacher professional development statesecondary schools. learning facilities improve vocational school productivity,"literacy skills vocational, knowledge management process, schools determinants teacher"
6771601,readiness online learning covid19 pandemic vocational education. digital pedagogical tools effective learning pandemic facilitating tvet students learning process malaysia indonesia. tvet teaching strategy covid19 comparative study indonesia malaysia,"pandemic vocational education, readiness online learning, malaysia indonesia tvet"
5993425,alsumud wa altakayyuf wa altathaquf tabir huwiyat alulamafi almanfabi kampung jawa tondano. implementation backpropagation neural network extreme learning machine ph neutralization prototype. information technology primary school management. ict competences primary school teachers. problem posing skill elementary school students. science learning children learning disabilities. developing mathematical investigative attitudes prospective primary school teachers. ict training curriculum primary school teachers. scaffolding conceptual science. murrderr strategy developing mathematical investigation thinking skill elementary school preservice teacher. implementation signal defects caused effect harmonics use electricity loads,"school teachers ict, neural network extreme, harmonics use electricity"
5993560,decade value education model bibliometric study scopus. alquran literacy strategy learning steps improving alquran reading skills action research. exegetical translation quran action research prospective islamic teachers indonesia. ictbased alquran phonology learning. tourism religion coexist,"alquran literacy strategy, decade value education, learning tourism religion"
6689586,decade value education model bibliometric study scopus. murrderr strategy developing creative characters elementary school prospective teachers. effect endurance eyehand coordination confidence volleyball referee performance west java. activation learners ’ metacognition promote learning autonomy good language learners. static dynamic balance learning primary school students. initial reading lesson dia tampan association method android photo editor media. radec reading answering demonstrating explaining creating lms teach tennis without field practicing. empowering learners roleplaying game vocabulary mastery,"value education model, game vocabulary mastery, coordination confidence volleyball"
6101488,active physics learning contextual teaching learning methods. review continuous professional development school principal carrier. role instructional leadership school quality school climate mediator. influence authentic leadership school culture information communication technology acceptance school management effectiveness public accredited vocational high school west java. promote vision jati diri core identities education. teaching quality mediation contributions principal strategy competency student. effect organisational climate career development organisational citizenship behaviour ocb organisational commitment intervening variable. character education era industrial revolution 40 relevance high school learning transformation process. relationship role principal quality school academic service mediating function teacher commitment. continuing professional development lecturer ’ research training model based research product. grow please model academic supervisory performance. participative leadership implementation character education. discipline enforcement leadership motivation. fluctuation schoolbased management implementation. competencebased education training model management team school operational assistance. transformational leadership headmasters professional learning communities primary schools manjung perak. morality politics relation dirty hands action posibility karl popper minimalist democrac. influence professional learning community malay language teachers transformation school selangor. phenomena leadership consistency implementing quality management vocational high sc. comparative study relationships teacher learning teacher professional development indonesia malaysia. management learning needs potential kindergarten students. improvement teaching effectiveness supervising academic practice grow please model. needs analysis teacher professional development improve competence. knowledge creation higher education leaders facing changes. underdeveloped region education teacher existance access educational policy. authentic leadership human resource practice competitive advantage private madrasas indonesian context. construction project progress evaluation using quantitative approach considering time cost quality. emotional regulation remedy teacher burnout special schools evaluating school climate teacher ’ worklife balance children behavior. use student team achievement divisions improving learning outcome physics course. development classroom climate study indonesia historical perspective. state defense awareness program strengthening student character. improvement leadership capacity lecturer performance optimization student learning outc. influence entrepreneurship education business success graduate recruitment. design twotier supply chain based integration pricing routing inventory control. fourthgrade primary school students misconception greatest common factor least common multiple. effect spiritual intelligence spiritual health covid19 pandemic. studying role spirituality quality work life amongst muslim employees indonesia. synchronization strategic plan implementation legal entity state university good u. school services student perspective study service quality improvement. history ideology new order history school textbook. assessing quality efficiency education rural schools models integration cooperation educational institutions case study russia indonesia. modeling flexible flow shop scheduling problem without unemployment considering sequencedependent preparation times solving metaheuristic algorithm. multiobjective mathematical modeling scheduling machines parallel batch processors. assessing effects gamification developing efl learners idiomatic knowledge attitudinal factors contribute learning idioms game. empirical evaluation educational service quality current higher education system. study role mindfulness intervention based stress reduction psychological distress selfefficacy among health industry staff covid19 pandemic. studying islamic lifestyle academic success russian muslim students. investigating effect using gamebased learning efl learners motivation anxiety,"instructional leadership school, climate study indonesia, ocb organisational commitment"
5983988,projection simulation media technical drawing vocational students. measuring technical drawing capability online learning basic competency vocational students. cipp evaluation learning development model vocational laboratories based iso 9001 2008,"technical drawing vocational, students cipp evaluation, projection simulation media"
5994697,women ’ empowerment family poverty tawhidi epistemological approach,"empowerment family poverty, family poverty tawhidi, tawhidi epistemological approach"
6681604,profile prosocial behavior elementary school children. aggressive behavior elementary school,"children aggressive behavior, behavior elementary school, profile prosocial behavior"
